id;spotify_id;name;image_url;release_date;duration;acousticness;danceability;energy;instrumentalness;musical_key;liveness;loudness;mode;speechiness;tempo;time_signature;valence
1;synthesizing navigate Poland;bypassing Towels empowering;Compatible Directives;2024-02-27T08:40:41;43075;1;1;1;0;72066;0;0;true;0;21824;49554;1
2;Table Total Ergonomic;budgetary;Forks;2024-02-27T14:46:25;68235;0;1;1;0;25674;0;0;true;1;27606;8854;0
3;Consultant;Lats;National real-time Parks;2024-02-27T03:08:47;13885;1;0;0;0;98899;1;1;true;0;89740;1400;0
4;Home bluetooth;Market Florida;Central Lead Technician;2024-02-27T06:32:59;1082;1;1;0;0;62656;0;1;false;0;27641;18108;1
5;Courts;one-to-one project;Infrastructure Liaison;2024-02-27T06:06:25;53577;1;0;1;0;36257;0;1;true;1;42929;12997;0
6;connect Garden;Sausages Dynamic;application Somalia Mountain;2024-02-27T21:48:14;27154;0;1;1;1;18550;0;0;true;0;50119;35685;1
7;Accounts;drive multimedia encompassing;Nakfa open-source Research;2024-02-27T07:55:33;27750;1;0;0;0;47494;1;1;false;0;32119;15986;1
8;Lats calculating synthesizing;PCI Sleek;matrix Account digital;2024-02-27T06:47:33;49583;0;1;0;1;19205;0;0;false;1;17941;34197;1
9;policy Bypass Avon;calculating Multi-tiered;Rue;2024-02-27T22:57:56;5972;0;1;1;1;40315;0;0;true;1;60722;20421;1
10;empower;Wells leading-edge;Avon Direct;2024-02-27T21:48:55;14255;0;0;1;1;18910;1;0;false;1;42149;11806;1
